Cos'è il 'Cloud Computing'?;Un sistema di previsione del tempo;Usare risorse IT tramite internet;Un computer sull'aereo;2
A cosa serve un 'Firewall'?;Per eliminare file più velocemente;Protezione da accessi di rete non autorizzati;Perché il PC non prenda fuoco;2
Cos'è la 'Virtualizzazione'?;Più server virtuali su un unico hardware;Un gioco VR per la pausa;Un monitor difettoso;1
Cosa significa 'DNS'?;Data Night Storage;Domain Name System (converte nomi in IP);Digital Network Service;2
Cos'è 'Active Directory' (AD)?;Un calendario per sportivi;Un servizio directory per la gestione degli utenti;Un programma per pubblicità online;2
Cos'è il software 'Open Source'?;Il codice sorgente è liberamente accessibile e modificabile;Software che funziona solo di notte;Un sistema di sicurezza chiuso;1
Cosa significa 'Larghezza di banda'?;Il numero di tasti sulla tastiera;La larghezza dell'armadio server;La velocità massima di trasferimento dati;3
Cos'è un 'Patch'?;Un cavo rotto;Un aggiornamento software per correggere errori;Un adesivo per il laptop;2
Cosa fa un 'Backup'?;Crea una copia di sicurezza dei dati;Svuota automaticamente il cestino;Rende il PC più veloce;1
Cos'è 'Linux'?;Un sistema operativo libero;Un nuovo linguaggio di programmazione;Un marchio hardware;1
Cos'è 'HTTPS'?;Un programma per foto;Una connessione crittografata al server web;Un cavo internet molto veloce;2
Cos'è 'DHCP'?;Assegna automaticamente indirizzi IP in rete;Pulisce la stampante;Salva documenti nel cloud;1
Cos'è uno 'Switch'?;Un dispositivo di gioco portatile;Spegne completamente il PC;Collega dispositivi all'interno di una rete;3
Cos'è 'SSH'?;Un protocollo per l'accesso remoto sicuro ai server;Un linguaggio di programmazione;Un SSD molto veloce;1
Cos'è un 'Data Center' (Centro elaborazione dati)?;Un edificio pieno di server e hardware IT;Una fabbrica di calcolatrici;Un ufficio per contabili;1
Cosa significa 'LAN'?;Large Apple Network;Long Access Node;Local Area Network (rete locale);3
Qual è il compito principale di una scheda grafica (GPU)?;Fornisce la ricezione internet;Salva documenti Word;Calcola le immagini per il monitor;3
Perché oggi si usano gli SSD M.2 NVMe?;Sono estremamente veloci e compatti;Perché non consumano corrente;Perché fanno più luce colorata;1
Cosa significa 'Ergonomia' sul posto di lavoro?;Tutti i PC hanno lo stesso colore;Riuscire a dormire in piedi;Organizzare il posto di lavoro in modo sano e confortevole;3
Cos'è un 'Driver'?;Un antivirus;Software per la comunicazione tra hardware e PC;Un dipendente che consegna pacchi;2
Qual è il compito del 'First-Level Support'?;Primo punto di contatto per problemi tecnici;Supporto solo per il capo;Team che costruisce solo hardware;1
Il PC emette un segnale acustico all'avvio e lo schermo rimane nero. Cos'è?;Codice di errore tecnico (es. RAM);Una sveglia;Modalità risparmio energetico;1
Cosa fa il processore (CPU)?;Salva tutte le foto delle vacanze;Esegue comandi e calcoli;Raffredda la stanza;2
Cos'è la 'RAM'?;Memoria di lavoro per i programmi in esecuzione;Un cavo speciale;Una memoria che dura decenni;1
Cos'è un 'Mainboard'?;La tastiera del PC;La scheda madre che collega tutti i componenti;Una tavola per il monitor;2
Cos'è il 'Phishing'?;Un programma per contare i pesci;Un nuovo hobby per gli informatici;Tentativo di truffa tramite e-mail false;3
A cosa serve un 'sistema di ticket'?;Per raccogliere e gestire le richieste di supporto;Per comprare biglietti del cinema;Per ascoltare musica;1
Cos'è un 'Sistema operativo'?;L'hardware puro;Un videogioco;Il software di base (es. Windows, macOS);3
Come si distingue un SSD da un HDD?;Non ha parti mobili (più silenzioso/veloce);È molto più pesante;Ha bisogno di benzina;1
Qual è il compito di un alimentatore?;Trovare il PC su internet;Convertire la corrente per tutti i componenti;Raffreddare la CPU;2
Cosa succede durante la 'Formattazione' di un disco fisso?;Il disco viene dipinto di colori;Girerà più velocemente;Tutti i dati vengono eliminati e il filesystem ricreato;3
Cosa significa 'USB'?;United Software Base;Universal Serial Bus;Under Second Battery;2
Cos'è un 'Bit'?;Un pezzo del mouse;La più piccola unità di informazione (0 o 1);Un biscottino per la pausa;2
Quanti bit formano un 'Byte'?;10;8;100;2
Perché si dovrebbe 'Spegnere' il PC?;Per evitare che scappi via;Perché i dati vengano salvati e i programmi terminati correttamente;Per renderlo più leggero;2
Cos'è '2FA' (Autenticazione a due fattori)?;Due password di fila;Sicurezza aggiuntiva tramite un secondo codice;Due monitor al PC;2
Cosa significa 'Responsive Design'?;Il sito web risponde alle domande;Il design è particolarmente colorato;Il sito web si adatta automaticamente a smartphone/PC;3
Cosa significa 'RGB'?;Red Gold Black;Real Great Business;Red, Green, Blue (sistema di colori per schermi);3
Cos'è 'CMYK'?;Un nuovo social network;Sistema di colori per la stampa (Cyan, Magenta, Yellow, Key);Un formato video;2
Cos'è un 'Logo'?;Una parola lunga;Un simbolo grafico di riconoscimento per le aziende;Un diario di bordo per le navi;2
Cosa si fa nello 'Storyboarding'?;Scrivere codice per siti web;Pianificare lo svolgimento di un film con disegni;Ordinare i libri sullo scaffale;2
Cos'è il 'Diritto d'autore'?;Una legge per gli edifici vecchi;Protezione della proprietà intellettuale (immagini, testi);Il diritto di parcheggiare ovunque;2
Cos'è un 'Pixel'?;Un chip di memoria;Un animale nel bosco;Un singolo punto immagine su un monitor;3
A cosa serve 'Photoshop'?;Per tagliare musica;Per scrivere lettere;Fotoritocco e modifica delle immagini;3
Cos'è una 'Grafica vettoriale'?;Una grafica scalabile senza perdita di qualità;Una foto di una fotocamera;Un'immagine con pochi colori;1
Cos'è il 'Marketing'?;Riparare fotocamere;Fare la spesa al supermercato;Misure per la commercializzazione di prodotti;3
Cos'è la 'Tipografia'?;Una digitazione speciale sulla tastiera;Una foto di vecchi edifici;La progettazione e selezione dei caratteri tipografici;3
Cosa significa 'Social Media Management'?;Gestire e pianificare contenuti sulle piattaforme;Riparare telefoni;Assumere nuovi dipendenti;1
Cosa significa 'PDF'?;Portable Document Format;Public Data File;Personal Design Folder;1
Cos'è un 'Layout'?;Un sacco a pelo;Una password;La disposizione degli elementi su una superficie;3
Cos'è il 'Branding'?;Cucinare;Costruzione di un marchio con identità e design;Fare buchi nel metallo;2
Cos'è un 'Podcast'?;Una serie di contenuti audio da ascoltare;Una piccola cassetta postale;Un dispositivo tecnico per misurare;1
Cos'è la 'SEO'?;Ottimizzazione per i motori di ricerca (migliore posizione su Google);Un nuovo formato video;Un ruolo dirigenziale;1
Cos'è la 'Risoluzione' di un'immagine?;La soluzione di un indovinello;Numero di pixel (nitidezza dell'immagine);Quanto velocemente si carica un'immagine;2
